CONFIG_ID;IS_ELITE;particles;topology;modInfluence;branching;tSchedule;phi1;phi2;inertia
224;FALSE;2;2;0;NA;NA;0.81;0.87;0.47
225;FALSE;51;4;0;NA;NA;1.03;1.83;0.82
226;FALSE;84;0;1;NA;NA;1.17;2.37;0.76
227;TRUE;70;4;0;NA;NA;0.27;1.95;0.24
228;FALSE;14;0;2;NA;NA;2.1;2.46;0.2
229;FALSE;42;1;0;NA;NA;0.62;2.18;0.48
230;FALSE;9;4;0;NA;NA;1.96;1.08;0.45
231;FALSE;62;2;2;NA;NA;1.69;1.88;0.78
232;FALSE;55;0;0;NA;NA;0.96;1.84;0.51
233;FALSE;34;0;2;NA;NA;1.68;1.2;0.56
234;FALSE;121;5;2;NA;2;0.69;0.81;0.34
235;FALSE;102;4;1;NA;NA;2.17;2.19;0.28
236;FALSE;37;4;1;NA;NA;1.68;0.58;0.34
237;FALSE;49;5;0;NA;5;1.14;2.1;0.48
238;FALSE;130;0;0;NA;NA;1.07;2.26;0.61
239;FALSE;28;0;0;NA;NA;1.62;2.09;0.3
240;FALSE;59;5;2;NA;10;2.22;1.53;0.08
241;FALSE;68;2;1;NA;NA;0.65;2.25;0.48
242;FALSE;55;4;2;NA;NA;1.34;2.36;0.36
243;FALSE;103;2;0;NA;NA;0.55;1.28;0.43
244;FALSE;71;0;2;NA;NA;0.73;1.95;0.58
245;FALSE;5;2;0;NA;NA;1.41;1.36;0.69
246;FALSE;117;3;2;NA;NA;0.28;1.89;0.36
247;FALSE;32;5;2;NA;5;0.8;2.32;0.24
248;FALSE;52;0;1;NA;NA;1.53;1.36;0.53
249;FALSE;87;0;2;NA;NA;0.73;1.2;0.66
250;FALSE;100;4;0;NA;NA;1.22;1.26;0.47
251;FALSE;20;5;0;NA;2;0.84;1.41;0.5
252;FALSE;8;0;0;NA;NA;0.2;1.42;0.35
253;FALSE;129;4;0;NA;NA;0.6;2.1;0.32
254;FALSE;65;2;2;NA;NA;1.2;2.1;0.43
255;FALSE;55;0;0;NA;NA;0.92;1.4;0.2
256;FALSE;8;3;0;NA;NA;2.03;1.26;0.65
257;FALSE;40;3;2;NA;NA;0.63;1.01;0.39
258;FALSE;12;2;0;NA;NA;1.87;1.45;0.57
259;FALSE;31;0;0;NA;NA;1.8;1.34;0.57
260;FALSE;126;4;0;NA;NA;0.66;1.95;0.44
261;FALSE;51;0;1;NA;NA;1.99;1.27;0.68
262;FALSE;17;0;2;NA;NA;1.15;1.84;0.48
263;FALSE;53;6;1;15;NA;1.76;2.27;0.58
264;FALSE;39;4;1;NA;NA;1.49;2.03;0.7
265;FALSE;45;0;0;NA;NA;1.55;2.17;0.44
266;FALSE;52;4;1;NA;NA;0.87;1.94;0.51
267;FALSE;54;6;0;17;NA;1.44;2.21;0.44
268;FALSE;5;2;1;NA;NA;2.03;1.46;0.8
269;FALSE;86;0;0;NA;NA;0.69;0.92;0.8
270;FALSE;21;4;2;NA;NA;1.72;2.24;0.57
271;TRUE;27;4;0;NA;NA;1.97;1.85;0.86
272;FALSE;55;0;0;NA;NA;1.71;1.48;0.44
273;FALSE;11;0;0;NA;NA;2.19;1.82;0.46
274;FALSE;39;4;1;NA;NA;0.8;1.66;0.76
275;FALSE;17;4;0;NA;NA;1.84;1.58;0.62
276;FALSE;45;4;0;NA;NA;1.06;1.55;0.5
277;FALSE;50;1;1;NA;NA;1.73;2.35;0.41
278;FALSE;50;4;2;NA;NA;0.55;1.81;0.35
279;FALSE;112;2;0;NA;NA;0.03;1.69;0.46
280;FALSE;33;0;0;NA;NA;0.83;1.87;0.62
281;FALSE;130;0;0;NA;NA;0.71;1.94;0.37
282;FALSE;69;6;1;6;NA;0.47;1.02;0.6
283;FALSE;26;0;1;NA;NA;0.95;0.77;0.43
284;FALSE;30;4;0;NA;NA;1.48;1.64;0.61
285;FALSE;30;0;1;NA;NA;0.82;0.55;0.55
286;FALSE;31;4;0;NA;NA;0.95;1.94;0.52
287;FALSE;30;4;2;NA;NA;1.47;1.69;0.39
288;FALSE;9;3;1;NA;NA;1.49;1.22;0.73
289;FALSE;4;3;2;NA;NA;1.46;1.43;0.63
290;FALSE;10;4;0;NA;NA;0.91;1.83;0.62
291;FALSE;56;0;0;NA;NA;0.89;1.12;0.72
292;FALSE;101;0;0;NA;NA;0.65;1.36;0.45
293;FALSE;13;4;0;NA;NA;1.23;2.37;0.52
294;FALSE;61;2;1;NA;NA;1.55;2.39;0.76
295;FALSE;13;0;0;NA;NA;1.17;2.12;0.56
296;FALSE;29;0;1;NA;NA;2.08;2.23;0.77
297;FALSE;129;1;1;NA;NA;0.42;1.1;0.62
