CONFIG_ID;IS_ELITE;IS_BEST;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
220;FALSE;FALSE;eas;3;3.52;2.99;0.89;64;NA;NA;312;17;1
221;FALSE;FALSE;mmas;3;4.71;4.91;0.11;17;NA;NA;NA;43;1
222;FALSE;FALSE;mmas;3;3.52;7.31;0.21;24;NA;NA;NA;34;1
223;FALSE;FALSE;mmas;0;2.58;4.53;0.15;11;NA;NA;NA;NA;NA
224;FALSE;FALSE;mmas;2;3.2;5.88;0.32;28;NA;NA;NA;26;1
225;FALSE;FALSE;acs;2;4.57;5.65;0.09;7;0.58;NA;NA;31;1
226;FALSE;FALSE;mmas;3;3.06;6.87;0.23;35;NA;NA;NA;12;1
227;FALSE;FALSE;mmas;2;3.61;8;0.69;31;NA;NA;NA;15;1
228;FALSE;FALSE;eas;3;4.27;6.87;0.28;50;NA;NA;319;19;1
229;TRUE;FALSE;acs;3;3.62;7.88;0.25;13;0.69;NA;NA;27;1
230;FALSE;FALSE;acs;2;3.29;7.41;0.4;19;0.17;NA;NA;41;1
231;FALSE;FALSE;acs;3;3.88;5.33;0.18;10;0.38;NA;NA;36;1
232;FALSE;FALSE;eas;0;3.8;8.82;0.35;25;NA;NA;7;NA;NA
233;FALSE;FALSE;mmas;0;1.11;5.83;0.42;33;NA;NA;NA;NA;NA
234;FALSE;FALSE;mmas;3;5;3.96;0.1;40;NA;NA;NA;32;1
235;FALSE;FALSE;acs;3;3.09;5.93;0.46;39;0.77;NA;NA;13;0
236;FALSE;FALSE;mmas;3;4.12;6.84;0.61;18;NA;NA;NA;36;0
237;FALSE;FALSE;mmas;3;3.36;3.83;0.26;87;NA;NA;NA;23;0
238;FALSE;FALSE;ras;3;4.8;7.7;0.28;11;NA;81;NA;19;1
239;FALSE;FALSE;mmas;3;2.89;8.43;0.16;63;NA;NA;NA;28;1
240;FALSE;FALSE;mmas;1;3.31;4.89;0.12;33;NA;NA;NA;30;1
241;FALSE;FALSE;ras;3;2.73;7.27;0.52;77;NA;67;NA;12;1
242;FALSE;FALSE;mmas;2;3.1;3.03;0.27;36;NA;NA;NA;26;0
243;FALSE;FALSE;ras;0;2.16;6.04;0.6;10;NA;25;NA;NA;NA
244;FALSE;FALSE;as;3;3.68;5.21;0.02;7;NA;NA;NA;24;1
245;FALSE;FALSE;ras;3;3.88;5.2;0.13;31;NA;89;NA;49;0
246;FALSE;FALSE;mmas;3;4.51;8.47;0.36;31;NA;NA;NA;41;1
247;FALSE;FALSE;mmas;3;3.39;8.92;0.56;18;NA;NA;NA;15;1
248;FALSE;FALSE;mmas;3;3.06;3.47;0.44;19;NA;NA;NA;16;1
249;FALSE;FALSE;acs;3;2.52;0.64;0.21;41;0.23;NA;NA;27;1
250;FALSE;FALSE;mmas;0;2.53;6.02;0.43;43;NA;NA;NA;NA;NA
251;FALSE;FALSE;acs;2;3.75;1.84;0.32;9;0.45;NA;NA;9;1
252;FALSE;FALSE;mmas;3;3.68;6.7;0.1;64;NA;NA;NA;20;1
253;FALSE;FALSE;acs;0;4.34;5.06;0.5;18;0.73;NA;NA;NA;NA
254;FALSE;FALSE;acs;3;3.21;6.58;0.1;67;0.79;NA;NA;13;1
255;TRUE;FALSE;acs;3;3.61;0.46;0.04;18;0.51;NA;NA;15;1
256;TRUE;FALSE;acs;3;3.18;8.14;0.33;45;0.23;NA;NA;9;1
257;FALSE;FALSE;acs;3;2.67;1.73;0.33;18;0.55;NA;NA;35;1
258;FALSE;FALSE;mmas;3;3.62;0.96;0.1;13;NA;NA;NA;25;1
259;FALSE;FALSE;mmas;2;3.83;5.64;0.21;55;NA;NA;NA;18;0
260;FALSE;FALSE;acs;3;3.13;2.09;0.24;22;0.64;NA;NA;25;1
261;FALSE;FALSE;acs;3;2.84;2.61;0.19;12;0.39;NA;NA;27;1
262;FALSE;FALSE;mmas;3;3.85;7.1;0.19;53;NA;NA;NA;8;1
263;FALSE;FALSE;mmas;3;2.5;4.34;0.42;25;NA;NA;NA;20;1
264;FALSE;FALSE;acs;3;4.39;8.01;0.16;55;0.54;NA;NA;27;1
265;FALSE;FALSE;acs;3;3.84;4.82;0.2;50;0.79;NA;NA;12;1
266;FALSE;FALSE;acs;3;3.36;7.79;0.14;31;0.7;NA;NA;32;1
267;FALSE;FALSE;acs;3;2.64;0.7;0.09;32;0.58;NA;NA;34;1
268;FALSE;FALSE;acs;3;3.16;8;0.25;27;0.5;NA;NA;9;1
269;FALSE;FALSE;mmas;3;3.34;4.48;0.34;59;NA;NA;NA;13;1
270;FALSE;FALSE;acs;3;4.34;8.05;0.39;23;0.56;NA;NA;36;1
271;FALSE;FALSE;acs;3;4.29;0.48;0.04;68;0.4;NA;NA;30;0
272;FALSE;FALSE;acs;3;4.82;9.26;0.16;41;0.48;NA;NA;11;1
273;FALSE;FALSE;mmas;2;3.35;7.67;0.09;56;NA;NA;NA;7;1
274;FALSE;FALSE;acs;0;3.51;9.01;0.51;10;0.41;NA;NA;NA;NA
275;FALSE;FALSE;acs;1;4.13;9.34;0.17;29;0.6;NA;NA;12;1
276;FALSE;FALSE;acs;3;3.09;4.92;0.05;63;0.09;NA;NA;12;0
277;FALSE;FALSE;acs;3;2.49;6.3;0.07;64;0.56;NA;NA;7;1
278;FALSE;FALSE;acs;3;1.65;0.04;0.18;11;0.54;NA;NA;35;1
279;FALSE;FALSE;acs;3;3.42;3.1;0.14;31;0.94;NA;NA;37;0
280;FALSE;FALSE;mmas;3;2.33;0.06;0.1;12;NA;NA;NA;24;1
281;FALSE;FALSE;ras;3;4.14;7.13;0.38;69;NA;88;NA;16;1
282;FALSE;FALSE;acs;3;2.78;7.59;0.23;7;0.82;NA;NA;31;1
283;FALSE;FALSE;acs;3;2.1;1.53;0.01;47;0.16;NA;NA;18;1
284;FALSE;FALSE;mmas;3;3.79;3.96;0.38;59;NA;NA;NA;6;1
285;FALSE;FALSE;mmas;3;2.58;7.4;0.22;47;NA;NA;NA;16;1
286;FALSE;FALSE;acs;3;3.75;7.56;0.14;26;0.75;NA;NA;18;1
287;FALSE;FALSE;acs;3;3.98;9.64;0.4;10;0.73;NA;NA;27;1
288;FALSE;FALSE;acs;3;3.89;7.94;0.25;27;0.57;NA;NA;42;1
289;FALSE;FALSE;mmas;3;2.67;8.81;0.22;27;NA;NA;NA;8;1
290;FALSE;FALSE;acs;0;2.75;0.23;0.12;41;0.19;NA;NA;NA;NA
291;FALSE;FALSE;mmas;3;3.1;4.78;0.24;54;NA;NA;NA;14;0
292;FALSE;FALSE;acs;3;3.09;0.6;0.09;20;0.45;NA;NA;20;1
293;FALSE;FALSE;acs;3;4.12;8.24;0.06;29;0.41;NA;NA;12;1
294;FALSE;FALSE;acs;2;3.03;7.32;0.19;50;0.39;NA;NA;7;1
