CONFIG_ID;IS_ELITE;algorithm;localsearch;alpha;beta;rho;ants;q0;rasrank;elitistants;nnls;dlb
175;FALSE;ras;0;4.9;9.4;0.46;13;NA;26;NA;NA;NA
176;FALSE;mmas;2;2.4;4.4;0.95;61;NA;NA;NA;20;1
177;FALSE;ras;0;0.68;7.21;0.36;82;NA;48;NA;NA;NA
178;FALSE;mmas;2;3.18;2.21;0.86;34;NA;NA;NA;44;0
179;TRUE;acs;3;4.43;4.71;0.11;58;0.82;NA;NA;10;1
180;FALSE;eas;1;1.93;9.71;0.61;10;NA;NA;325;33;0
181;FALSE;mmas;3;0.05;8.46;0.73;46;NA;NA;NA;27;1
182;FALSE;acs;1;2.55;3.46;0.24;94;0.44;NA;NA;50;0
183;FALSE;ras;2;1.3;5.96;0.49;70;NA;85;NA;39;0
184;FALSE;acs;2;2.28;7.23;0.75;47;0.47;NA;NA;29;0
185;FALSE;ras;3;1.99;6.92;0.49;81;NA;80;NA;35;1
186;FALSE;eas;1;4.93;6.55;0.52;88;NA;NA;503;18;1
187;FALSE;eas;0;4.2;3.22;0.35;53;NA;NA;158;NA;NA
188;FALSE;mmas;3;4.26;0.56;0.22;30;NA;NA;NA;16;0
189;FALSE;mmas;0;4.98;2.93;0.12;83;NA;NA;NA;NA;NA
190;FALSE;acs;2;4.71;0.08;0.55;32;0.42;NA;NA;31;0
191;FALSE;acs;3;4.4;5.21;0.54;92;0.67;NA;NA;16;0
192;FALSE;acs;3;3.79;5.94;0.59;84;0.26;NA;NA;18;1
193;FALSE;ras;1;3.01;4.78;0.14;24;NA;8;NA;30;0
194;FALSE;acs;2;2.86;8.51;0.98;73;0.43;NA;NA;31;0
195;FALSE;ras;1;3.77;4.05;0.31;44;NA;31;NA;14;1
196;FALSE;acs;0;2.56;6.82;0.11;94;0.7;NA;NA;NA;NA
197;FALSE;mmas;1;3.02;3.11;0.32;51;NA;NA;NA;15;1
198;FALSE;ras;2;4.29;8.22;0.13;55;NA;19;NA;12;0
199;FALSE;acs;2;2.95;6.76;0.31;60;0.5;NA;NA;15;0
200;FALSE;ras;1;2.53;4.02;0.6;43;NA;3;NA;20;1
